Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,Tamb,DNI,m2_T_WB,m3_T_WB
47130,59.96129209,58.64065811,3.309692119,10.61756995,-2.696832306,-3.767552916,0.019540372,-0.1142593,-0.74877368,1.617159928,58.97334953,60.55925415,60.68371368,60.28089846,60.11863168,59.55588714,59.37987556,59.38279422,58.92676318,58.90969672,58.75249949,58.64065811,24.44579759,647.2502644,57.98641366,58.71171552
47140,59.87320454,58.57520376,3.994078777,11.20880534,-2.616237062,-3.681144944,0.012027243,-0.142852313,-0.786519484,1.617436388,58.89460576,60.56853471,60.59453015,60.20381991,60.03099881,59.48125466,59.31489176,59.31668791,58.86985071,58.84851706,58.692663,58.57520376,24.46239586,649.1329267,57.9099435,58.63107224
47150,59.7858708,58.49635511,4.295517938,11.46813885,-2.618275415,-3.63831252,0.015037086,-0.11580999,-0.815260074,1.617711738,58.80053712,60.51290357,60.51013961,60.11919153,59.9378349,59.39457985,59.24258043,59.2448257,58.77708909,58.75979691,58.61808576,58.49635511,24.45299601,649.8703994,57.84915342,58.55026045
47160,59.68620137,58.42403138,3.809166315,11.1337258,-2.691025314,-3.715799599,-0.012032402,-0.126366559,-0.779335611,1.618020859,58.71801117,60.38012709,60.43339038,60.0316564,59.87924935,59.32453031,59.16219768,59.1604014,58.70342712,58.68456228,58.54037573,58.42403138,24.39597074,650.3560778,57.75087935,58.4715809
47170,59.58057989,58.326437,3.950706951,11.25728348,-2.566769162,-3.803820586,-0.051148645,0.018056185,-0.90289432,1.618293866,58.63537045,60.31564836,60.33857407,59.95545451,59.78710499,59.2193414,59.06283944,59.05520492,58.59820912,58.60090421,58.46120427,58.326437,24.38523259,650.7090112,57.66763003,58.38202569
47180,59.49566508,58.24394553,4.545630864,11.49270465,-2.565840858,-3.890481487,0.15047472,0.167062687,-0.80828885,1.618624302,58.55491321,60.26998022,60.28981924,59.90691642,59.71364621,59.13306604,58.94579416,58.96824965,58.47080759,58.49573851,58.36456723,58.24394553,24.39078977,649.3625968,57.60979879,58.32534158
47190,59.40527441,58.16181562,3.912604656,11.47515102,-2.743915702,-3.880730029,-0.109869432,-0.120430412,-0.707600794,1.618922773,58.47243731,60.18456906,60.21898457,59.80958297,59.67467155,59.09565336,58.91152221,58.89512932,58.44394031,58.42597168,58.26739208,58.16181562,24.38489571,651.4201455,57.55864285,58.28923278
47200,59.32216596,58.10921204,6.555113486,11.70293407,1.17796836,-5.11370669,-0.248379068,-0.140026842,-0.823676343,1.61918341,58.40160595,60.14744264,60.17136618,60.34709479,59.87149838,59.10863868,58.88521058,58.84815754,58.38415601,58.36326689,58.23208759,58.10921204,24.39408845,648.9875393,57.52888456,58.39409743
47210,59.24607035,58.06272819,9.52500537,12.93457267,5.295632915,-5.665235362,-1.356290818,-0.71829063,-0.965383407,1.619426671,58.31648072,60.24576268,60.21829076,61.00817144,60.59463718,59.74962772,59.32285702,59.12055676,58.48614548,58.37900741,58.20672187,58.06272819,24.35717161,651.680368,58.07867902,61.06911429
47220,59.18180377,58.17544665,12.41768506,12.87417324,6.584035327,-2.159076289,-1.64056934,-1.419969164,-1.820908712,1.619634431,58.2216505,60.14167713,60.21621969,61.19814862,60.85846591,60.53646589,59.96416736,59.71949636,58.89460847,58.68283731,58.44701307,58.17544665,24.35121017,651.826809,77.82358319,69.02500128
