Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI,m2_T_WB,m3_T_WB
40806,4.261337701,4.249036295,-0.6452492,0.134853741,1.343905505,0.955671548,-1.776880188,1.717472367,31.99020422,31.71012046,32.31644919,32.48480446,32.39272873,32.22848423,32.24772758,31.99707844,32.18885098,31.66339839,31.79977075,31.58752648,31.33396933,31.33396933,23.14957821,455.2682181,34.20355335,35.82306802
40816,7.642301786,4.272860758,-0.425326575,1.887546786,2.773167253,1.629273706,-2.495220141,1.717499342,31.97400576,31.70187037,32.31158708,32.54991881,32.48922675,32.35133979,32.62068365,32.42990549,32.82562314,32.27803709,32.51052662,32.2558162,31.89976027,31.89976027,23.14098426,441.5554405,35.48604374,37.81662896
40826,10.66847535,4.591136559,-0.268007622,2.586890466,3.638648584,2.430745131,-2.310937772,1.717421544,31.99239438,31.72697453,32.38214145,32.59623703,32.55799166,32.43568881,32.80484469,32.64387006,33.16311452,32.65738096,33.00425451,32.75401324,32.42423651,32.42423651,23.13151807,432.2653919,36.29003995,38.77599413
40836,11.95329591,4.36388041,-0.14121786,3.133812879,4.107939842,2.590448302,-2.101567666,1.717381413,31.99102777,31.72091134,32.34366387,32.618459,32.59830635,32.47303068,32.92024502,32.78561968,33.37184792,32.92345018,33.29312306,33.08781598,32.78790937,32.78790937,23.12089525,394.5510395,36.75706814,39.19472372
40846,12.88518924,4.399957168,-0.14442124,3.281202827,4.384892179,2.939437208,-1.975878904,1.717298136,31.98501295,31.71929427,32.34722764,32.60878363,32.58817277,32.4835092,32.9517812,32.84326125,33.46904465,33.09004794,33.50954537,33.32350391,33.04151928,33.04151928,23.10978103,442.0990632,37.1643969,39.80679778
40856,14.38279377,4.495752017,-0.176497946,3.744371531,4.77534302,3.06536298,-1.521537836,1.717186852,31.99397703,31.73241758,32.37406835,32.63629172,32.61110126,32.52476216,33.05917306,32.93601223,33.61756729,33.26837638,33.70587661,33.54046224,33.3233026,33.3233026,23.09848771,410.327687,37.49399933,40.13376662
40866,15.84641892,4.501653218,0.231020706,4.148079259,5.261799735,3.207431198,-1.503565192,1.71705313,31.99163957,31.73599487,32.37854151,32.66166454,32.69463944,32.55288589,33.1449649,33.01860917,33.76965586,33.37474735,33.8325623,33.68844387,33.47383144,33.47383144,23.08753468,439.1080848,37.79226361,40.66563307
40876,16.15582667,4.791553718,0.253459998,4.295210091,5.004690924,3.256476913,-1.445564969,1.716937756,31.9933585,31.73341747,32.41739321,32.67071022,32.70689065,32.57407035,33.18719496,33.08510841,33.79950867,33.50437898,33.96922845,33.82329851,33.61694971,33.61694971,23.07654794,425.3247206,37.91870524,40.84778669
40886,16.2956577,4.343305431,0.165215526,3.964450423,5.558522431,3.406623793,-1.1424599,1.716823394,32.00137342,31.73275205,32.3527875,32.69383339,32.717419,32.61597428,33.18192568,33.12470321,33.91821889,33.57118572,34.0575037,33.9191338,33.75604012,33.75604012,23.06585193,386.3935383,38.00687787,40.74289322
40896,16.48022979,4.652176147,-0.136337308,4.007554296,5.79219497,3.425519996,-1.26087831,1.716728084,32.00011929,31.72995888,32.3941275,32.69532796,32.67586374,32.60143844,33.17357753,33.10605415,33.93297772,33.60928638,34.09833125,33.99381616,33.81380668,33.81380668,23.05503649,341.2075342,38.00050576,40.39708596
