Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
51528,1.899125736,9.414719889,2.499896462,-4.695137673,0.067680177,-2.458073765,-2.929959354,3.204363579,23.30785559,24.68533987,24.70501482,25.54682667,25.18851273,25.4594496,25.14331156,25.29666503,25.48365767,25.51616481,25.47005511,25.4465384,25.41864047,25.41864047,26.0468286,1.108316071
51538,26.21782415,9.647419018,8.352278157,-0.708758617,4.776233002,2.200234292,1.950418302,3.204515613,23.32746475,24.70197821,24.72714281,25.57031477,25.21685139,25.46772315,25.15251002,25.31185747,25.49815584,25.5315847,25.48386181,25.46541761,25.44282304,25.44282304,26.17221717,1.125172589
51548,39.24835292,10.86558985,7.864796626,1.20576067,7.116046507,4.992927362,7.203231908,3.204759801,23.31558366,24.70824788,24.72654931,25.57136788,25.21213965,25.47246522,25.16025152,25.32121193,25.49160094,25.52595217,25.46992913,25.45863196,25.43119546,25.43119546,26.31180037,1.127773497
51558,48.81228054,12.17881855,8.652684667,1.943799466,8.861769777,6.661796246,10.51341184,3.204898171,23.31401609,24.70939705,24.729071,25.57072567,25.21311149,25.47159239,25.15338232,25.30719554,25.48288944,25.52969021,25.47136184,25.45314799,25.42571136,25.42571136,26.37926863,1.120497539
51568,49.12049868,11.11524996,6.994066805,3.428858331,9.76944142,7.607232553,10.20564961,3.205083361,23.311634,24.70836274,24.73101064,25.56650423,25.2031234,25.4784371,25.15907594,25.31358011,25.48143427,25.52085776,25.47336495,25.44293156,25.42587005,25.42587005,26.41756118,1.129852343
51578,46.91043741,9.600883369,5.684750162,3.608022851,10.90313077,9.189829401,7.923820861,3.204831744,23.29352679,24.69725423,24.72104649,25.57079613,25.20280455,25.46082681,25.14353606,25.31280012,25.47880998,25.51039509,25.46082681,25.4430739,25.41471475,25.41471475,26.62856928,1.105945623
51588,49.65738425,10.06124798,5.964097669,4.246175751,10.68874783,9.463179963,9.233935061,3.204977838,23.31054602,24.71293347,24.7353524,25.58270833,25.21564324,25.47642907,25.15775917,25.31549175,25.4893399,25.5264577,25.48080955,25.45152916,25.4319316,25.4319316,26.56381161,1.102827356
51598,46.91418227,8.924252544,5.601247366,3.322222454,11.37145172,9.68474832,8.010259866,3.204708299,23.30391419,24.70839248,24.73355674,25.58070087,25.21040658,25.46888813,25.15621216,25.31717317,25.49079051,25.52006984,25.47465196,25.44952145,25.43407397,25.43407397,26.58921101,1.12465523
51608,48.54382785,9.662185418,4.941843633,3.392121343,11.44012227,10.07962048,9.027934702,3.204532697,23.30528609,24.72343832,24.74905929,25.5882942,25.21869433,25.47556004,25.16726775,25.32338484,25.48270713,25.52628034,25.47832666,25.45965182,25.43498208,25.43498208,26.63782755,1.114261004
51618,46.90904356,8.987502385,5.297293963,3.206796615,10.71954224,9.068578258,9.629330103,3.20463647,23.294383,24.72359101,24.75058449,25.58963189,25.22026308,25.48681156,25.15638315,25.32149468,25.48911705,25.52715702,25.47228682,25.45937578,25.43516716,25.43516716,26.58304511,1.122576385
51628,48.42937038,8.86652223,5.522678779,3.150430497,11.17597436,9.962844319,9.750920201,3.204445444,23.28929295,24.71463646,24.74666305,25.59146836,25.20526579,25.47804287,25.15706726,25.3187199,25.47804287,25.52622711,25.46835966,25.45129854,25.4125642,25.4125642,26.48281061,1.112530201
51638,49.56126897,9.471959768,5.830563361,4.698544324,11.38356375,9.28652931,8.890108464,3.204530227,23.29205745,24.70957099,24.74846055,25.59491863,25.21817222,25.49509593,25.1628251,25.31410053,25.48956276,25.52852488,25.47411585,25.4469103,25.4307711,25.4307711,26.42531285,1.110103314
51648,48.63290268,9.462046981,5.438866953,3.690089341,10.33610164,10.14505696,9.560740809,3.204315937,23.28744025,24.71274923,24.7607885,25.60437323,25.22048134,25.49071856,25.16282815,25.32517169,25.4923324,25.53728845,25.48103545,25.45659676,25.44529945,25.44529945,26.35740521,1.093566618
51658,50.37784832,9.793320188,6.116890978,3.783679011,11.62367189,9.832654523,9.227631731,3.204224552,23.28139872,24.71018372,24.75547826,25.6047992,25.22159928,25.49045292,25.15910315,25.32398368,25.49321951,25.52803177,25.4780032,25.45932835,25.43926982,25.43926982,26.34309072,1.137814978
51668,49.78236277,9.961065521,6.142463494,3.509982236,11.18466545,9.552429114,9.431756947,3.204059026,23.27708778,24.70910182,24.7491352,25.5942732,25.21983264,25.4794647,25.15549144,25.3157608,25.4794647,25.52926266,25.48292297,25.4478787,25.44027025,25.44027025,26.29710496,1.106985046
