Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,exp_flowrate,DNI,Tamb
43700,79.12959768,16.57688344,13.13676322,5.772868787,17.83591016,15.97375048,9.833421601,29.66391366,28.75838408,30.3671649,30.612158,31.88707634,31.70120837,32.2614633,32.08436774,33.81533667,33.4971012,35.04734817,34.88602581,35.84035599,33.7554031,2.514342937,620.823458,25.11355746
43701,79.12959768,16.57688344,13.13676322,5.772868787,17.83591016,15.97375048,9.833421601,29.66391366,28.75838408,30.3671649,30.612158,31.88707634,31.70120837,32.2614633,32.08436774,33.81533667,33.4971012,35.04734817,34.88602581,35.84035599,33.7554031,2.514342937,620.823458,25.10395557
43711,90.81900525,19.29713229,14.94171135,7.307550393,19.2052489,17.54899554,12.51836678,30.47785134,29.42254524,31.29839113,31.47786484,32.93032666,32.63243655,33.34279279,33.21554506,35.0824591,34.8902925,36.59620458,36.49535377,37.71224582,35.0429318,2.510233532,623.2908308,25.09709708
43721,89.28440823,17.92894452,14.17606993,6.441032226,19.97132812,18.15268568,12.61434775,30.598797,29.5113983,31.25467555,31.58287925,32.96125488,32.78038375,33.40666183,33.33526279,35.27712623,35.01302176,36.77805393,36.64573587,37.87226125,35.25816587,2.509613078,624.7109925,25.16126517
43731,91.03390251,19.92459173,14.06567207,6.542575568,20.14575244,18.1413984,12.2139123,30.71592744,29.62025753,31.55803877,31.66506096,33.03302854,32.85331441,33.48961754,33.42417371,35.3834641,35.14885784,36.91321327,36.77315542,37.9610287,35.45883796,2.509014618,624.6888683,25.17703145
43809,90.11433663,19.02744013,13.13317426,6.786960379,19.79090565,18.87824784,12.49760838,30.83722551,29.72845915,31.57944183,31.81466865,33.09225922,33.00733279,33.6675659,33.5536277,35.47888003,35.26097073,37.09744003,36.89924287,38.11500581,35.65587044,2.508398419,624.6551553,25.16998515
43811,90.11433663,19.02744013,13.13317426,6.786960379,19.79090565,18.87824784,12.49760838,30.83722551,29.72845915,31.57944183,31.81466865,33.09225922,33.00733279,33.6675659,33.5536277,35.47888003,35.26097073,37.09744003,36.89924287,38.11500581,35.65587044,2.508398419,624.6551553,25.19962952
43821,90.62512985,18.43188564,14.07764465,6.811080491,20.55782375,18.203465,12.54323032,31.73095989,30.63569486,32.43189522,32.71467598,34.08655245,33.98226493,34.64600956,34.52851808,36.53189262,36.27060423,38.04454484,37.95795498,39.18030169,37.07594794,2.503995228,627.1846865,25.29385513
43831,92.5375967,19.49504264,14.61087926,6.949828127,19.99909474,18.41320712,13.06954481,31.81489375,30.69563722,32.59582422,32.80356914,34.22769544,34.07265314,34.75005474,34.64377467,36.59309176,36.37084193,38.16558213,38.06829259,39.34218461,37.22035042,2.503492847,627.2373631,25.27661791
43841,90.47857665,18.2006598,13.53491379,7.597873445,19.80793809,18.62688206,12.71030947,31.90805285,30.81074914,32.58514833,32.87832554,34.19785683,34.04921376,34.78993748,34.75497037,36.68606461,36.49509478,38.31104677,38.2108082,39.44994805,37.34838308,2.50296231,627.2500055,25.24128732
43851,90.23940752,18.77652428,14.35631806,5.865990844,18.63091614,18.89544143,13.71421676,32.00765956,30.92518254,32.75608588,32.97784109,34.37772907,34.15067805,34.72267221,34.66964641,36.48635147,36.42200234,38.26450132,38.16334722,39.50062375,37.47666861,2.502466633,627.0761727,25.21691047
43861,90.07385895,19.42349861,14.1943713,5.727512453,20.3032667,16.95038019,13.47482969,32.11262474,31.02862126,32.92301018,33.11796104,34.50234911,34.39878797,34.95739671,34.85250831,36.83270169,36.56441215,38.21759591,38.03851203,39.35272265,37.62372863,2.501939602,627.0456202,25.1935484
43871,93.31592176,19.41694895,13.76153871,7.502557858,21.25764765,17.85344172,13.52378689,32.22484493,31.17461686,33.06484052,33.22618404,34.56585827,34.49042184,35.22078954,35.07457289,37.14398702,36.79935733,38.53737488,38.39137209,39.70790138,37.77731347,2.501492119,627.3174316,25.24828008
43881,93.64273002,19.09414018,15.11980968,7.327190582,20.29867995,18.97564277,12.82726686,32.30544174,31.26324208,33.12232458,33.31402822,34.78615388,34.57724772,35.29065255,35.20384443,37.18020579,36.94758318,38.7951283,38.6323065,39.88122094,37.89076911,2.501109975,625.6286192,25.18533819
43891,94.32366201,19.55850677,15.27427109,6.965725403,21.60806196,18.13858837,12.77850841,32.39964509,31.36727799,33.27203648,33.41454946,34.90207598,34.70073483,35.37911098,35.28203045,37.38639046,37.0926943,38.85917016,38.74372371,39.98819358,38.01593231,2.500501521,627.4038212,25.1921433
43917,92.67274157,18.96467721,15.25011385,7.226772969,21.09544257,17.77978534,12.35594963,32.46423646,31.44079179,33.28796068,33.48754543,34.97291402,34.8033532,35.50724445,35.37637053,37.43107701,37.16088126,38.8926411,38.79040519,39.99388076,38.11436617,2.500173776,627.0045325,25.22678532
43921,95.13582777,19.39867734,15.39333793,7.407585364,20.8829504,18.57884266,13.47443408,32.66586868,31.64219029,33.53239828,33.69721943,35.19714696,35.01002768,35.73182313,35.64071162,37.67554724,37.43276988,39.24309314,39.12609252,40.43904198,38.39946059,2.499158906,627.1604553,25.24782404
43931,96.21847025,18.69098819,16.19519835,7.09376639,21.1884492,19.85672309,13.19334502,32.76331219,31.7263775,33.54798309,33.79525473,35.37362307,35.12599206,35.81734366,35.71756235,37.78256807,37.46777558,39.40299257,39.19769339,40.48350401,38.5275938,2.498672039,626.3755736,25.22863632
43941,98.60582037,20.65981547,15.44962656,7.227239013,21.98312486,19.2607905,14.02522396,32.85969346,31.82415765,33.83803587,33.92882512,35.43482435,35.27515904,35.9796561,35.87395367,38.01682548,37.68295329,39.5604573,39.43415878,40.80131006,38.66582361,2.498184905,627.0666909,25.27387141
43951,96.89855584,19.87593514,15.241308,7.578697699,21.21921795,19.91309772,13.07029933,32.98942771,31.91870954,33.8565584,34.03190015,35.51788565,35.37170925,36.11061138,35.99396407,38.0627793,37.79866347,39.74013558,39.5137343,40.78805244,38.79145105,2.497692757,626.2459892,25.34634845
