Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,DNI
42729,27.91990701,27.03526973,1.952690816,9.759056148,-0.81275765,-4.437969543,-0.796894769,-1.031178316,-0.727565054,1.149924408,21.48057535,25.01099549,24.24082994,24.12356852,24.42798381,23.95294661,23.86244003,23.43266339,23.38276985,23.40794789,23.24924741,23.19195259,23.13650318,23.09676274,23.09676274,1.101787933
42739,27.93619412,27.26998019,4.032764018,10.46943107,1.51628334,-5.065206906,-0.933353632,-1.101991164,-0.85239869,1.149927855,21.48625288,26.23644353,25.45651803,25.34800991,25.65386145,25.19065919,25.089646,24.66104264,24.61789614,24.62920207,24.47436983,24.39890712,24.34974971,24.3130533,24.3130533,1.076841791
42749,27.94744544,27.55499523,4.760697855,10.68152946,2.989748388,-5.473929699,-1.26970928,-1.246948754,-0.919992255,1.149876429,21.46076064,26.25742427,25.47595599,25.35808557,25.66471109,25.20243592,25.10326888,24.68228471,24.6379854,24.64306145,24.48153906,24.41669264,24.36476658,24.31537683,24.31537683,1.101787933
42759,27.96061438,27.85337833,6.282760749,10.72675543,4.168534784,-4.651838183,-1.25728618,-1.579071192,-1.12433391,1.149878659,21.50648149,26.2589649,25.49370603,25.36852952,25.66556103,25.20974329,25.10942378,24.68059749,24.64114345,24.65937093,24.49623564,24.42054366,24.3644636,24.33399915,24.33399915,1.084117749
42769,27.97082755,28.26136975,9.547887221,10.74296795,5.316565072,-1.347637801,-1.646347777,-2.06983732,-1.447822902,1.149831259,21.51792334,26.27863083,25.51366352,25.38849227,25.6914615,25.23058141,25.13072507,24.70490651,24.65368633,24.66614551,24.4997806,24.43308907,24.38116379,24.34839189,24.34839189,1.089314862
42779,27.98110813,28.7984534,16.75130845,11.59932953,6.078115467,1.595938982,1.470603776,-1.884004467,-2.108674843,1.14986602,21.51704574,26.72493185,25.94912176,25.83753073,26.13478104,25.68976504,25.58326579,25.15255133,25.10573424,25.1253377,24.9521231,24.87900025,24.82478929,24.80125858,24.80125858,1.094511975
42789,27.98478686,30.48574228,23.73635791,10.89006196,6.003867351,3.532059314,4.50963321,0.51190355,-1.71116747,1.149872391,21.48292036,26.72798456,25.9489581,25.83280242,26.13391845,25.67322752,25.57986693,25.16368019,25.1099447,25.12239866,24.94641561,24.87790598,24.82530979,24.8020098,24.8020098,1.108024468
42799,27.99688477,32.41500355,31.47934344,10.70720818,5.948891639,4.996238569,7.087155612,2.275497535,0.464351902,1.149834192,21.46180705,27.31353392,26.51518482,26.40053482,26.6751171,26.24391813,26.12249694,25.68554364,25.65603829,25.66249266,25.48798072,25.42757504,25.36670483,25.33050388,25.33050388,1.067486988
42809,28.03377881,33.76127732,36.38789125,11.38762635,6.114740348,5.867287752,7.757074904,4.32826657,0.932895326,1.149816068,21.45919143,27.33488396,26.54772702,26.42989361,26.68772885,26.26690223,26.15078303,25.71291922,25.66312974,25.68456716,25.52135544,25.44642654,25.38647968,25.35281575,25.35281575,1.087236017
42819,28.02705232,35.26942813,42.41729788,10.27370075,7.982909589,5.826257271,9.164183701,5.970655243,3.199591332,1.149795367,21.46710415,27.42307614,26.62827787,26.51297133,26.79692924,26.3531094,26.23561721,25.79248683,25.74731092,25.75537818,25.58595292,25.5089536,25.4658408,25.41188974,25.41188974,1.123615807
