722780,"PHOENIX SKY HARBOR INTL AP",AZ,-7.0,33.450,-111.983,337
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2002,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,10.0,A,7,5.6,A,7,74,A,7,977,A,7,110,A,7,1.5,A,7,16000,A,7,77777,A,7,1.5,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.9,A,7,5.6,A,7,80,A,7,977,A,7,200,A,7,2.1,A,7,16000,A,7,77777,A,7,1.4,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.9,A,7,5.6,A,7,80,A,7,977,A,7,120,A,7,1.5,A,7,16000,A,7,77777,A,7,1.4,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.9,A,7,5.0,A,7,77,A,7,977,A,7,0,A,7,0.0,A,7,16000,A,7,77777,A,7,1.4,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,8.3,A,7,5.0,A,7,80,A,7,978,A,7,0,A,7,0.0,A,7,16000,A,7,77777,A,7,1.3,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.8,A,7,4.4,A,7,79,A,7,978,A,7,60,A,7,1.5,A,7,16000,A,7,77777,A,7,1.3,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.2,A,7,4.4,A,7,82,A,7,978,A,7,90,A,7,2.6,A,7,16000,A,7,77777,A,7,1.3,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,08:00,24,625,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,7.8,A,7,4.4,A,7,79,A,7,979,A,7,90,A,7,2.1,A,7,16000,A,7,77777,A,7,1.4,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,09:00,234,1415,119,2,9,561,2,21,26,2,9,12606,2,9,43345,2,21,5412,2,9,609,2,25,0,E,9,0,E,9,8.3,A,7,4.4,A,7,76,A,7,980,A,7,0,A,7,0.0,A,7,16000,A,7,77777,A,7,1.4,E,8,0.047,F,8,0.200,F,8,0,1,A,7
01/01/2002,10:00,458,1415,301,2,9,782,2,21,47,2,9,31716,2,9,71426,2,21,8497,2,9,1058,2,25,0,E,9,0,E,9,11.7,A,7,3.9,A,7,59,A,7,980,A,7,40,B,8,1.5,A,7,16000,A,7,77777,A,7,1.4,E,8,0.047,F,8,0.200,F,8,0,1,A,7
