time,inletT,inletRH,outletT,outletRH
0,74.779,38.919,75.124,38.476
10,74.952,44.173,75.472,44.436
20,75.256,46.671,75.646,45.292
30,75.342,48.099,75.69,46.139
40,75.515,51.752,75.819,46.336
50,76.995,55.843,76.995,48.807
60,78.262,55.035,78.042,48.944
70,79.093,54.548,78.742,48.673
80,79.621,53.794,79.182,48.433
90,79.974,52.485,79.401,48.078
100,80.238,51.905,79.666,47.931
110,80.458,51.938,79.885,47.888
120,80.458,51.358,79.797,47.743
130,80.458,50.684,79.93,48.645
140,80.591,49.176,80.017,48.341
150,80.679,48.854,80.062,48.352
160,80.724,49.109,80.105,48.094
170,80.767,48.235,80.105,48.21
180,80.812,47.914,80.15,47.856
190,80.944,47.956,80.326,48.096
200,81.077,47.283,80.591,47.859
