!timestamp,south.SlatAngle,south.LightingFraction,south.InteriorLightingFraction,east.SlatAngle0,east.LightingFraction,east.InteriorLightingFraction,west.SlatAngle0,west.LightingFraction,west.InteriorLightingFraction,roof.SlatAngle0,roof.0LightingFraction,roof.InteriorLightingFraction,!surfaces: ,!generated by:  ,!ROM limit: ,Latitude,!dataVersion
0,90,1,1,90,1,1,90,1,1,90,1,1,SEWR,NEN,70,33,43020.6387
3600,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
7200,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
10800,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
14400,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
18000,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
21600,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
25200,-58.1,1,1,31.9,1,1,-90,1,1,-58.1,1,1,,,,,
28800,-48.2,0.56,0.56,41.8,0.42,0.6,-90,0.7,1,-48.2,0.56,0.8,,,,,
32400,-37.1,0.48,0.48,53,0.53,0.76,-90,0.7,1,-37.1,0.48,0.69,,,,,
36000,-24.4,0.4,0.4,65.6,0.62,0.89,-90,0.7,1,-24.4,0.4,0.58,,,,,
39600,-10.2,0.34,0.34,79.8,0.68,0.97,-90,0.7,1,-10.2,0.34,0.48,,,,,
43200,5,0.31,0.31,90,0.7,1,-85,0.7,1,5,0.31,0.44,,,,,
46800,20.2,0.34,0.34,90,0.7,1,-69.8,0.68,0.97,20.2,0.34,0.48,,,,,
50400,34.4,0.4,0.4,90,0.7,1,-55.6,0.62,0.89,34.4,0.4,0.58,,,,,
54000,47.1,0.48,0.48,90,0.7,1,-42.9,0.53,0.76,47.1,0.48,0.69,,,,,
57600,58.2,0.56,0.56,90,0.7,1,-31.8,0.42,0.6,58.2,0.56,0.8,,,,,
61200,68.1,1,1,90,1,1,-21.9,1,1,68.1,1,1,,,,,
64800,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
68400,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
72000,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
75600,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
79200,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
82800,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
86400,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
90000,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
93600,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
97200,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
100800,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
104400,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
108000,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
111600,-58.2,1,1,31.8,1,1,-90,1,1,-58.2,1,1,,,,,
115200,-48.3,0.56,0.56,41.8,0.42,0.6,-90,0.7,1,-48.3,0.56,0.8,,,,,
118800,-37.1,0.49,0.49,52.9,0.53,0.76,-90,0.7,1,-37.1,0.49,0.69,,,,,
122400,-24.4,0.4,0.4,65.6,0.62,0.89,-90,0.7,1,-24.4,0.4,0.58,,,,,
126000,-10.2,0.34,0.34,79.8,0.68,0.97,-90,0.7,1,-10.2,0.34,0.48,,,,,
129600,5,0.31,0.31,90,0.7,1,-85,0.7,1,5,0.31,0.44,,,,,
133200,20.2,0.34,0.34,90,0.7,1,-69.8,0.68,0.97,20.2,0.34,0.48,,,,,
136800,34.4,0.4,0.4,90,0.7,1,-55.6,0.62,0.89,34.4,0.4,0.58,,,,,
140400,47.1,0.49,0.49,90,0.7,1,-42.9,0.53,0.76,47.1,0.49,0.69,,,,,
144000,58.3,0.56,0.56,90,0.7,1,-31.7,0.42,0.6,58.3,0.56,0.8,,,,,
147600,68.2,1,1,90,1,1,-21.8,1,1,68.2,1,1,,,,,
151200,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
154800,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
158400,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
162000,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
165600,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
169200,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
172800,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
176400,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
180000,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
183600,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
187200,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
190800,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
194400,90,1,1,90,1,1,90,1,1,90,1,1,,,,,
198000,-58.2,1,1,31.8,1,1,-90,1,1,-58.2,1,1,,,,,
201600,-48.3,0.56,0.56,41.7,0.42,0.6,-90,0.7,1,-48.3,0.56,0.8,,,,,
205200,-37.2,0.49,0.49,52.8,0.53,0.76,-90,0.7,1,-37.2,0.49,0.69,,,,,
208800,-24.5,0.4,0.4,65.5,0.62,0.89,-90,0.7,1,-24.5,0.4,0.58,,,,,
212400,-10.2,0.34,0.34,79.8,0.68,0.97,-90,0.7,1,-10.2,0.34,0.48,,,,,
