!timestamp,south. LightingFraction,east. LightingFraction,west. LightingFraction,roof. LightingFraction,!surfaces: ,!generated by:  ,!ROM limit: ,Latitude,!dataVersion
0,0.05,0.05,0.05,0.05,SEWR,NEN,70,41,43028.46141
3600,0.05,0.05,0.05,0.05,,,,,
7200,0.05,0.05,0.05,0.05,,,,,
10800,0.05,0.05,0.05,0.05,,,,,
14400,0.05,0.05,0.05,0.05,,,,,
18000,0.05,0.05,0.05,0.05,,,,,
21600,0.1,0.1,0.1,0.1,,,,,
25200,0.0862,0.0862,0.0862,0.0862,,,,,
28800,0.561746226,0.422525922,0.7,0.561746226,,,,,
32400,0.484537267,0.531371555,0.7,0.484537267,,,,,
36000,0.402967359,0.621410753,0.7,0.402967359,,,,,
39600,0.335114316,0.67982178,0.7,0.335114316,,,,,
43200,0.307189186,0.7,0.7,0.307189186,,,,,
46800,0.335204088,0.7,0.679825042,0.335204088,,,,,
50400,0.403151766,0.7,0.621380449,0.403151766,,,,,
54000,0.484642438,0.7,0.531312462,0.484642438,,,,,
57600,0.561900985,0.7,0.422356994,0.561900985,,,,,
61200,0.431,0.431,0.431,0.431,,,,,
64800,0.258698,0.258698,0.258698,0.258698,,,,,
68400,0.258698,0.258698,0.258698,0.258698,,,,,
72000,0.172,0.172,0.172,0.172,,,,,
75600,0.172,0.172,0.172,0.172,,,,,
79200,0.172,0.172,0.172,0.172,,,,,
82800,0.0862,0.0862,0.0862,0.0862,,,,,
86400,0.05,0.05,0.05,0.05,,,,,
90000,0.05,0.05,0.05,0.05,,,,,
93600,0.05,0.05,0.05,0.05,,,,,
97200,0.05,0.05,0.05,0.05,,,,,
100800,0.05,0.05,0.05,0.05,,,,,
104400,0.05,0.05,0.05,0.05,,,,,
108000,0.1,0.1,0.1,0.1,,,,,
111600,0.0862,0.0862,0.0862,0.0862,,,,,
115200,0.562210341,0.422019397,0.7,0.562210341,,,,,
118800,0.485107509,0.531109475,0.7,0.485107509,,,,,
122400,0.403757153,0.621300537,0.7,0.403757153,,,,,
126000,0.336028833,0.679798567,0.7,0.336028833,,,,,
129600,0.30817683,0.7,0.7,0.30817683,,,,,
133200,0.336118588,0.7,0.679801847,0.336118588,,,,,
136800,0.403809474,0.7,0.62131135,0.403809474,,,,,
140400,0.485317656,0.7,0.530991528,0.485317656,,,,,
144000,0.562369965,0.7,0.421862761,0.562369965,,,,,
147600,0.431,0.431,0.431,0.431,,,,,
151200,0.258698,0.258698,0.258698,0.258698,,,,,
154800,0.258698,0.258698,0.258698,0.258698,,,,,
158400,0.172,0.172,0.172,0.172,,,,,
162000,0.172,0.172,0.172,0.172,,,,,
165600,0.172,0.172,0.172,0.172,,,,,
169200,0.0862,0.0862,0.0862,0.0862,,,,,
172800,0.05,0.05,0.05,0.05,,,,,
176400,0.05,0.05,0.05,0.05,,,,,
180000,0.05,0.05,0.05,0.05,,,,,
183600,0.05,0.05,0.05,0.05,,,,,
187200,0.05,0.05,0.05,0.05,,,,,
190800,0.05,0.05,0.05,0.05,,,,,
194400,0.1,0.1,0.1,0.1,,,,,
